t_sec,x_m,y_m
0.000000,1.780857,-0.044858
0.020000,1.780857,-0.044858
0.040000,1.780857,-0.044858
0.060000,1.780857,-0.044858
0.080000,1.780857,-0.044858
0.100000,1.780857,-0.044858
0.120000,1.780857,-0.044858
0.140000,1.780857,-0.044858
0.160000,1.780857,-0.044858
0.180000,1.780857,-0.044858
0.200000,1.780857,-0.044858
0.220000,1.780857,-0.044858
0.240000,1.780857,-0.044858
0.260000,1.780857,-0.044858
0.280000,1.780857,-0.044858
0.300000,1.780857,-0.044858
0.320000,1.780857,-0.044858
0.340000,1.780857,-0.044858
0.360000,1.780857,-0.044858
0.380000,1.780857,-0.044858
0.400000,1.780857,-0.044858
0.420000,1.780857,-0.044858
0.440000,1.780857,-0.044858
0.460000,1.780857,-0.044858
0.480000,1.780857,-0.044858
0.500000,1.780857,-0.044858
0.520000,1.780857,-0.044858
0.540000,1.780857,-0.044858
0.560000,1.780857,-0.044858
0.580000,1.780857,-0.044858
0.600000,1.780857,-0.044858
0.620000,1.780857,-0.044858
0.640000,1.780857,-0.044858
0.660000,1.780857,-0.044858
0.680000,1.780857,-0.044858
0.700000,1.780857,-0.044858
0.720000,1.780857,-0.044858
0.740000,1.780857,-0.044858
0.760000,1.780857,-0.044858
0.780000,1.780857,-0.044858
0.800000,1.780857,-0.044858
0.820000,1.780857,-0.044858
0.840000,1.780857,-0.044858
0.860000,1.780857,-0.044858
0.880000,1.780857,-0.044858
0.900000,1.780857,-0.044858
0.920000,1.780857,-0.044858
0.940000,1.780857,-0.044858
0.960000,1.780857,-0.044858
0.980000,1.780857,-0.044858
1.000000,1.780857,-0.044858
1.020000,1.780857,-0.044858
1.040000,1.780857,-0.044858
1.060000,1.780857,-0.044858
1.080000,1.780857,-0.044858
1.100000,1.780857,-0.044858
1.120000,1.780857,-0.044858
1.140000,1.780857,-0.044858
1.160000,1.780857,-0.044858
1.180000,1.780857,-0.044858
1.200000,1.780857,-0.044858
1.220000,1.780857,-0.044858
1.240000,1.780857,-0.044858
1.260000,1.780857,-0.044858
1.280000,1.780857,-0.044858
1.300000,1.780857,-0.044858
1.320000,1.780857,-0.044858
1.340000,1.780857,-0.044858
1.360000,1.780857,-0.044858
1.380000,1.780857,-0.044858
1.400000,1.780857,-0.044858
1.420000,1.780857,-0.044858
1.440000,1.780857,-0.044858
1.460000,1.780857,-0.044858
1.480000,1.780857,-0.044858
1.500000,1.780857,-0.044858
1.520000,1.780857,-0.044858
1.540000,1.780857,-0.044858
1.560000,1.780857,-0.044858
1.580000,1.780857,-0.044858
1.600000,1.780857,-0.044858
1.620000,1.780857,-0.044858
1.640000,1.780857,-0.044858
1.660000,1.780857,-0.044858
1.680000,1.780857,-0.044858
1.700000,1.780857,-0.044858
1.720000,1.780857,-0.044858
1.740000,1.780857,-0.044858
1.760000,1.780857,-0.044858
1.780000,1.780857,-0.044858
1.800000,1.780857,-0.044858
1.820000,1.780857,-0.044858
1.840000,1.780857,-0.044858
1.860000,1.780857,-0.044858
1.880000,1.780857,-0.044858
1.900000,1.780857,-0.044858
1.920000,1.780857,-0.044858
1.940000,1.780857,-0.044858
1.960000,1.780857,-0.044858
1.980000,1.780857,-0.044858
2.000000,1.780857,-0.044858
2.020000,1.780857,-0.044858
2.040000,1.780857,-0.044858
2.060000,1.780857,-0.044858
2.080000,1.780857,-0.044858
2.100000,1.780857,-0.044858
2.120000,1.780857,-0.044858
2.140000,1.780857,-0.044858
2.160000,1.780857,-0.044858
2.180000,1.780857,-0.044858
2.200000,1.780857,-0.044858
2.220000,1.780857,-0.044858
2.240000,1.780857,-0.044858
2.260000,1.780857,-0.044858
2.280000,1.780857,-0.044858
2.300000,1.780857,-0.044858
2.320000,1.780857,-0.044858
2.340000,1.780857,-0.044858
2.360000,1.780857,-0.044858
2.380000,1.780857,-0.044858
2.400000,1.780857,-0.044858
2.420000,1.780857,-0.044858
2.440000,1.780857,-0.044858
2.460000,1.780857,-0.044858
2.480000,1.780857,-0.044858
2.500000,1.780857,-0.044858
2.520000,1.780857,-0.044858
2.540000,1.780857,-0.044858
2.560000,1.780857,-0.044858
2.580000,1.780857,-0.044858
2.600000,1.780857,-0.044858
2.620000,1.780857,-0.044858
2.640000,1.780857,-0.044858
2.660000,1.780857,-0.044858
2.680000,1.780857,-0.044858
2.700000,1.780857,-0.044858
2.720000,1.780857,-0.044858
2.740000,1.780857,-0.044858
2.760000,1.780857,-0.044858
2.780000,1.780857,-0.044858
2.800000,1.780857,-0.044858
2.820000,1.780857,-0.044858
2.840000,1.780857,-0.044858
2.860000,1.780857,-0.044858
2.880000,1.780857,-0.044858
2.900000,1.780857,-0.044858
2.920000,1.780857,-0.044858
2.940000,1.780857,-0.044858
2.960000,1.780857,-0.044858
2.980000,1.780857,-0.044858
3.000000,1.780857,-0.044858
3.020000,1.780857,-0.044858
3.040000,1.780857,-0.044858
3.060000,1.780857,-0.044858
3.080000,1.780857,-0.044858
3.100000,1.780857,-0.044858
3.120000,1.780857,-0.044858
3.140000,1.780857,-0.044858
3.160000,1.780857,-0.044858
3.180000,1.780857,-0.044858
3.200000,1.780857,-0.044858
3.220000,1.780857,-0.044858
3.240000,1.780857,-0.044858
3.260000,1.780857,-0.044858
3.280000,1.780857,-0.044858
3.300000,1.780857,-0.044858
3.320000,1.780857,-0.044858
3.340000,1.780857,-0.044858
3.360000,1.780857,-0.044858
3.380000,1.780857,-0.044858
3.400000,1.780857,-0.044858
3.420000,1.780857,-0.044858
3.440000,1.780857,-0.044858
3.460000,1.780857,-0.044858
3.480000,1.780857,-0.044858
3.500000,1.780857,-0.044858
3.520000,1.780857,-0.044858
3.540000,1.780857,-0.044858
3.560000,1.780857,-0.044858
3.580000,1.780857,-0.044858
3.600000,1.780857,-0.044858
3.620000,1.780857,-0.044858
3.640000,1.780857,-0.044858
