t_sec,x_m,y_m
0.000000,0.034299,0.050456
0.020000,0.034299,0.050456
0.040000,0.034299,0.050456
0.060000,0.034299,0.050456
0.080000,0.034299,0.050456
0.100000,0.034299,0.050456
0.120000,0.034299,0.050456
0.140000,0.034299,0.050456
0.160000,0.034299,0.050456
0.180000,0.034299,0.050456
0.200000,0.034299,0.050456
0.220000,0.034299,0.050456
0.240000,0.034299,0.050456
0.260000,0.034299,0.050456
0.280000,0.034299,0.050456
0.300000,0.034299,0.050456
0.320000,0.034299,0.050456
0.340000,0.034299,0.050456
0.360000,0.034299,0.050456
0.380000,0.034299,0.050456
0.400000,0.034299,0.050456
0.420000,0.034299,0.050456
0.440000,0.034299,0.050456
0.460000,0.034299,0.050456
0.480000,0.034299,0.050456
0.500000,0.034299,0.050456
0.520000,0.034299,0.050456
0.540000,0.034299,0.050456
0.560000,0.034299,0.050456
0.580000,0.034299,0.050456
0.600000,0.034299,0.050456
0.620000,0.034299,0.050456
0.640000,0.034299,0.050456
0.660000,0.034299,0.050456
0.680000,0.034299,0.050456
0.700000,0.034299,0.050456
0.720000,0.034299,0.050456
0.740000,0.034299,0.050456
0.760000,0.034299,0.050456
0.780000,0.034299,0.050456
0.800000,0.034299,0.050456
0.820000,0.034299,0.050456
0.840000,0.034299,0.050456
0.860000,0.034299,0.050456
0.880000,0.034299,0.050456
0.900000,0.034299,0.050456
0.920000,0.034299,0.050456
0.940000,0.034299,0.050456
0.960000,0.034299,0.050456
0.980000,0.034299,0.050456
1.000000,0.034299,0.050456
1.020000,0.034299,0.050456
1.040000,0.034299,0.050456
1.060000,0.034299,0.050456
1.080000,0.034299,0.050456
1.100000,0.034299,0.050456
1.120000,0.034299,0.050456
1.140000,0.034299,0.050456
1.160000,0.034299,0.050456
1.180000,0.034299,0.050456
1.200000,0.034299,0.050456
1.220000,0.034299,0.050456
1.240000,0.034299,0.050456
1.260000,0.034299,0.050456
1.280000,0.034299,0.050456
1.300000,0.034299,0.050456
1.320000,0.034299,0.050456
1.340000,0.034299,0.050456
1.360000,0.034299,0.050456
1.380000,0.034299,0.050456
1.400000,0.034299,0.050456
1.420000,0.034299,0.050456
1.440000,0.034299,0.050456
1.460000,0.034299,0.050456
1.480000,0.034299,0.050456
1.500000,0.034299,0.050456
1.520000,0.034299,0.050456
1.540000,0.034299,0.050456
1.560000,0.034299,0.050456
1.580000,0.034299,0.050456
1.600000,0.034299,0.050456
1.620000,0.034299,0.050456
1.640000,0.034299,0.050456
1.660000,0.034299,0.050456
1.680000,0.034299,0.050456
1.700000,0.034299,0.050456
1.720000,0.034299,0.050456
1.740000,0.034299,0.050456
1.760000,0.034299,0.050456
1.780000,0.034299,0.050456
1.800000,0.034299,0.050456
1.820000,0.034299,0.050456
